depth,ion,spr,dose
34.0,98.7,1.023,99.9
34.1,98.6,1.023,99.8
34.2,98.5,1.024,99.7
34.3,98.4,1.024,99.6
34.4,98.4,1.024,99.6
34.5,98.3,1.024,99.6
34.6,98.2,1.024,99.5
34.7,98.1,1.024,99.4
34.8,98.0,1.025,99.3
34.9,98.0,1.025,99.3
35.0,98.0,1.025,99.4
35.1,97.9,1.025,99.3
35.2,97.9,1.025,99.3
35.3,97.8,1.025,99.2
35.4,97.8,1.026,99.2
35.5,97.8,1.026,99.3
35.6,97.7,1.026,99.2
35.7,97.7,1.026,99.2
35.8,97.7,1.026,99.1
35.9,97.7,1.027,99.1
36.0,97.7,1.027,99.3
36.1,97.7,1.027,99.3
36.2,97.7,1.027,99.3
36.3,97.8,1.027,99.4
36.4,97.8,1.027,99.4
36.5,97.8,1.028,99.4
36.6,97.8,1.028,99.5
36.7,97.9,1.028,99.6
36.8,97.9,1.028,99.6
36.9,97.9,1.028,99.6
37.0,97.7,1.028,99.4
37.1,97.7,1.029,99.3
37.2,97.6,1.029,99.3
37.3,97.5,1.029,99.2
37.4,97.3,1.029,99.0
37.5,97.2,1.029,98.9
37.6,97.1,1.03,98.9
37.7,96.9,1.03,98.7
37.8,96.8,1.03,98.6
37.9,96.7,1.03,98.5
38.0,96.7,1.03,98.5
38.1,96.6,1.03,98.5
38.2,96.6,1.031,98.5
38.3,96.5,1.031,98.4
38.4,96.5,1.031,98.4
38.5,96.4,1.031,98.3
38.6,96.4,1.031,98.4
38.7,96.3,1.032,98.3
38.8,96.3,1.032,98.3
38.9,96.2,1.032,98.2
39.0,96.2,1.032,98.2
39.1,96.2,1.032,98.2
39.2,96.2,1.032,98.2
39.3,96.1,1.033,98.1
39.4,96.1,1.033,98.1
39.5,96.0,1.033,98.0
39.6,96.0,1.033,98.1
39.7,95.9,1.033,98.0
39.8,95.9,1.034,98.0
39.9,95.8,1.034,97.9
40.0,95.8,1.034,97.9
40.1,95.8,1.034,98.0
40.2,95.7,1.034,97.9
40.3,95.7,1.035,97.9
40.4,95.6,1.035,97.8
40.5,95.6,1.035,97.8
40.6,95.5,1.035,97.8
40.7,95.5,1.035,97.8
40.8,95.4,1.035,97.7
40.9,95.4,1.036,97.7
41.0,95.3,1.036,97.6
41.1,95.2,1.036,97.6
41.2,95.2,1.036,97.6
41.3,95.1,1.036,97.5
41.4,95.0,1.037,97.4
41.5,95.0,1.037,97.4
41.6,94.9,1.037,97.4
41.7,94.8,1.037,97.3
41.8,94.8,1.037,97.3
41.9,94.7,1.038,97.2
42.0,94.7,1.038,97.1
42.1,94.7,1.038,97.2
42.2,94.6,1.038,97.1
42.3,94.5,1.038,97.0
42.4,94.5,1.038,97.0
42.5,94.4,1.039,96.9
42.6,94.3,1.039,96.9
42.7,94.3,1.039,96.9
42.8,94.2,1.039,96.8
42.9,94.1,1.039,96.7
43.0,94.1,1.04,96.7
43.1,94.0,1.04,96.7
43.2,93.9,1.04,96.6
43.3,93.8,1.04,96.5
43.4,93.7,1.04,96.4
43.5,93.7,1.041,96.4
43.6,93.6,1.041,96.4
43.7,93.5,1.041,96.3
43.8,93.4,1.041,96.2
43.9,93.4,1.041,96.2
44.0,93.4,1.042,96.2
44.1,93.4,1.042,96.3
44.2,93.4,1.042,96.3
44.3,93.4,1.042,96.3
44.4,93.4,1.042,96.3
44.5,93.4,1.043,96.3
44.6,93.4,1.043,96.3
44.7,93.4,1.043,96.4
44.8,93.4,1.043,96.4
44.9,93.4,1.043,96.4
45.0,93.3,1.043,96.3
45.1,93.2,1.044,96.1
45.2,93.1,1.044,96.1
45.3,93.0,1.044,96.0
45.4,92.9,1.044,95.9
45.5,92.8,1.044,95.8
45.6,92.7,1.045,95.8
45.7,92.6,1.045,95.7
45.8,92.5,1.045,95.6
45.9,92.4,1.045,95.5
46.0,92.2,1.045,95.3
46.1,92.1,1.046,95.3
46.2,91.9,1.046,95.1
46.3,91.7,1.046,94.9
46.4,91.6,1.046,94.7
46.5,91.4,1.046,94.6
46.6,91.3,1.047,94.5
46.7,91.1,1.047,94.3
46.8,90.9,1.047,94.1
46.9,90.7,1.047,94.0
47.0,90.6,1.047,93.9
47.1,90.5,1.048,93.8
47.2,90.3,1.048,93.6
47.3,90.2,1.048,93.5
47.4,90.1,1.048,93.4
47.5,90.0,1.048,93.3
47.6,89.8,1.049,93.1
47.7,89.7,1.049,93.0
47.8,89.6,1.049,92.9
47.9,89.4,1.049,92.8
48.0,89.3,1.049,92.7
48.1,89.2,1.05,92.6
48.2,89.0,1.05,92.4
48.3,88.9,1.05,92.4
48.4,88.8,1.05,92.3
48.5,88.6,1.05,92.1
48.6,88.6,1.051,92.0
48.7,88.5,1.051,91.9
48.8,88.3,1.051,91.8
48.9,88.2,1.051,91.7
49.0,88.2,1.051,91.7
49.1,88.1,1.052,91.6
49.2,88.0,1.052,91.5
49.3,88.0,1.052,91.6
49.4,87.9,1.052,91.5
49.5,87.9,1.052,91.5
49.6,87.8,1.053,91.4
49.7,87.8,1.053,91.4
49.8,87.7,1.053,91.4
49.9,87.6,1.053,91.3
50.0,87.4,1.054,91.1
50.1,87.2,1.054,90.9
50.2,87.0,1.054,90.6
50.3,86.8,1.054,90.5
50.4,86.6,1.054,90.3
50.5,86.3,1.055,90.0
50.6,86.1,1.055,89.8
50.7,85.9,1.055,89.7
50.8,85.6,1.055,89.4
50.9,85.5,1.055,89.2
51.0,85.3,1.056,89.0
51.1,85.1,1.056,88.8
51.2,85.0,1.056,88.8
51.3,84.8,1.056,88.6
51.4,84.6,1.056,88.4
51.5,84.4,1.057,88.2
51.6,84.2,1.057,88.0
51.7,84.1,1.057,87.9
51.8,84.0,1.057,87.8
51.9,83.8,1.057,87.6
52.0,83.7,1.058,87.5
52.1,83.6,1.058,87.4
52.2,83.5,1.058,87.4
52.3,83.4,1.058,87.3
52.4,83.2,1.059,87.1
52.5,83.1,1.059,87.0
52.6,83.0,1.059,86.9
52.7,82.9,1.059,86.9
52.8,82.8,1.059,86.8
52.9,82.7,1.06,86.7
53.0,82.6,1.06,86.5
53.1,82.3,1.06,86.2
53.2,82.0,1.06,86.0
53.3,81.7,1.06,85.7
53.4,81.4,1.061,85.4
53.5,81.2,1.061,85.2
53.6,81.0,1.061,85.0
53.7,80.7,1.061,84.7
53.8,80.4,1.062,84.4
53.9,80.1,1.062,84.1
54.0,79.9,1.062,83.9
54.1,79.7,1.062,83.8
54.2,79.5,1.062,83.6
54.3,79.3,1.063,83.3
54.4,79.1,1.063,83.1
54.5,78.9,1.063,82.9
54.6,78.7,1.063,82.8
54.7,78.5,1.063,82.6
54.8,78.2,1.064,82.3
54.9,78.0,1.064,82.1
55.0,78.0,1.064,82.0
55.1,77.8,1.064,81.9
55.2,77.7,1.065,81.8
55.3,77.5,1.065,81.6
55.4,77.4,1.065,81.5
55.5,77.2,1.065,81.3
55.6,77.1,1.065,81.3
55.7,76.9,1.066,81.1
55.8,76.8,1.066,81.0
55.9,76.6,1.066,80.8
56.0,76.4,1.066,80.5
56.1,76.1,1.067,80.2
56.2,75.8,1.067,80.0
56.3,75.5,1.067,79.7
56.4,75.2,1.067,79.4
56.5,75.0,1.067,79.1
56.6,74.7,1.068,78.8
56.7,74.4,1.068,78.6
56.8,74.1,1.068,78.3
56.9,73.7,1.068,77.9
57.0,73.5,1.069,77.7
57.1,73.3,1.069,77.4
57.2,73.0,1.069,77.2
57.3,72.8,1.069,77.0
57.4,72.5,1.069,76.7
57.5,72.2,1.07,76.4
57.6,72.0,1.07,76.1
57.7,71.8,1.07,75.9
57.8,71.5,1.07,75.7
57.9,71.2,1.071,75.4
58.0,71.0,1.071,75.2
58.1,70.7,1.071,74.9
